filename,frame_index,timestamp_seconds,source_video
dataset\VideoOneShorten\frames\frame_000133.png,133,22.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000134.png,134,22.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000135.png,135,22.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000136.png,136,22.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000137.png,137,22.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000138.png,138,23.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000139.png,139,23.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000140.png,140,23.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000141.png,141,23.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000142.png,142,23.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000143.png,143,23.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000144.png,144,24.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000145.png,145,24.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000146.png,146,24.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000147.png,147,24.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000148.png,148,24.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000149.png,149,24.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000150.png,150,25.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000151.png,151,25.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000152.png,152,25.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000153.png,153,25.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000154.png,154,25.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000155.png,155,25.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000156.png,156,26.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000157.png,157,26.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000158.png,158,26.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000159.png,159,26.5,videos\VideoOneShorten.mp4
